mesh_prefix_original_absolute,mesh_base,field_code_fa,field_V_per_cm_inferred_times10,direction_sequence,N_dir,activation_time_ms
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.05,0.5,y,1,11.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.01,0.1,xX,2,28.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.01,0.1,yY,2,27.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.02,0.2,xX,2,17.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.02,0.2,yY,2,15.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.03,0.3,xX,2,14.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.03,0.3,yY,2,12.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.04,0.4,xX,2,12.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.04,0.4,yY,2,12.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.05,0.5,xX,2,11.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.05,0.5,yY,2,10.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.01,0.1,xXyY,4,20.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.01,0.1,yYxX,4,20.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.02,0.2,xXyY,4,13.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.02,0.2,yYxX,4,13.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.03,0.3,xXyY,4,12.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.03,0.3,yYxX,4,12.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.04,0.4,xXyY,4,11.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.04,0.4,yYxX,4,10.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.05,0.5,xXyY,4,10.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH,testeH,0.05,0.5,yYxX,4,9.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,x,1,29.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,y,1,29.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,x,1,18.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,y,1,16.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,x,1,15.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,y,1,14.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,x,1,13.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,y,1,13.45
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,x,1,13.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,y,1,12.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,xX,2,32.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,yY,2,32.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,xX,2,19.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,yY,2,16.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,xX,2,15.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,yY,2,13.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,xX,2,13.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,yY,2,12.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,xX,2,12.2
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,yY,2,12.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,xXyY,4,50.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.01,0.1,yYxX,4,50.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,xXyY,4,14.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.02,0.2,yYxX,4,14.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,xXyY,4,13.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.03,0.3,yYxX,4,12.8
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,xXyY,4,12.2
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.04,0.4,yYxX,4,12.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,xXyY,4,10.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/teste,teste,0.05,0.5,yYxX,4,10.65
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,x,1,27.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.01,0.1,y,1,27.3
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,x,1,17.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.02,0.2,y,1,15.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,x,1,14.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.03,0.3,y,1,14.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,x,1,13.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.04,0.4,y,1,13.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,x,1,12.7
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeH1,testeH1,0.05,0.5,y,1,11.8
